lo_freq	hi_freq	lo_amplitude	hi_amplitude
-1.39835	-0.360837	8.76315	89.8809
-0.656893	0.178681	6.15115	89.8809
-1.60795	0.0548768	11.0209	89.8809
1.68939	0.0528753	12.3077	89.8809
0.557487	-0.241021	5.95494	89.8809
-0.303124	0.293663	2.92022	89.8809
0.0331009	0.140333	0.406042	89.8809
-0.230652	-0.0864652	3.03585	89.8809
0.1683	-0.0907841	6.18021	89.8809
0.58413	0.00559926	11.8743	89.8809
-0.673909	-0.32016	10.3959	89.8809
-0.263375	-0.0131432	5.31629	89.8809
-1.1181	-0.62245	8.09388	89.8809
-0.368292	0.835087	5.66342	89.8809
-0.0552725	0.395988	4.40865	89.8809
-0.455879	-0.0947238	3.77366	89.8809
-0.4318	-0.0308059	3.72161	89.8809
-0.335538	-0.0870032	4.55681	89.8809
0.0430855	-0.0976364	5.51462	89.8809
-1.16362	-0.359694	7.75831	89.8809
-0.56247	0.182894	5.34202	89.8809
-1.38966	0.145524	9.86138	89.8809
1.48926	-0.19759	11.0339	89.8809
0.485654	-0.159254	5.05445	89.8809
-0.262021	0.0648052	2.50709	89.8809
0.0513477	-0.0582291	0.768539	89.8809
-0.172872	0.00956102	2.50874	89.8809
0.120926	-0.165824	5.56755	89.8809
0.36192	0.222003	10.6288	89.8809
-0.434084	-0.215789	9.30575	89.8809
-0.198594	-0.163844	4.36907	89.8809
-0.975224	-0.573172	7.45503	89.8809
-0.306019	0.716484	4.8325	89.8809
-0.0595954	0.293406	3.4507	89.8809
-0.420616	-0.114077	3.55699	89.8809
-0.284445	-0.0166238	2.5742	89.8809
-0.354449	-0.0638682	4.44801	89.8809
0.121531	-0.189581	5.14195	89.8809
-0.893887	-0.379604	6.39273	89.8809
-0.502232	0.173673	4.52692	89.8809
-1.10605	0.0689135	8.4323	89.8809
1.40683	-0.178605	10.278	89.8809
0.527432	-0.266707	5.054	89.8809
-0.271424	0.0874157	2.41079	89.8809
0.0416523	-0.104027	0.600383	89.8809
-0.202266	-0.0535823	2.71751	89.8809
0.11283	-0.174509	4.5883	89.8809
0.228243	0.191792	10.1222	89.8809
-0.416302	-0.22127	8.75355	89.8809
-0.111438	-0.220651	4.06111	89.8809
-0.774842	-0.538213	6.51886	89.8809
-0.282369	0.704309	4.1862	89.8809
0.0254229	0.242821	3.58607	89.8809
-0.324663	-0.0848129	2.88476	89.8809
-0.345727	0.00289919	3.39948	89.8809
-0.263547	-0.0145065	3.17824	89.8809
